domainId,instanceId,comparableId,feature0,feature1,feature2,feature3,feature4,feature5,delta_x0,delta_x1,delta_x2,delta_x3,delta_x4,delta_x5,delta_y0,delta_y1,delta_y2,delta_y3,delta_y4,delta_y5,pred,actual,adjusted_step_number,adjusted_order,adjusted_price
0,0,2,2.5,3.76,3.0,11.0,12.376177,28.0,0.0,0.01,0.0,0.0,-2.45,-10.0,0.0,12.02,0.0,0.0,98.35,-109.05,1029.7,1010,3,"5,1,4","900.9,913.0,1011.3"
0,1,1,1.75,1.83,3.0,7.0,11.589251,57.0,0.0,0.1,0.0,0.0,-0.01,-5.0,0.0,7.73,0.0,0.0,30.11,-16.77,355.4,337,3,"5,1,4","320.0,327.8,357.9"
0,1,4,1.75,1.74,3.0,7.0,11.472778,56.0,0.0,0.19,0.0,0.0,0.1,-4.0,0.0,34.37,0.0,0.0,-20.74,6.92,353.2,340,3,"1,5,4","374.4,381.3,360.6"
0,2,9,2.5,1.57,3.0,7.0,4.216075,6.0,-0.25,0.39,0.0,0.0,0.67,6.0,-9.65,33.17,0.0,0.0,-1.8,4.7,358.2,352,4,"0,1,4,5","342.9,376.0,374.2,378.9"
0,3,0,1.0,0.73,3.0,6.0,5.0355825,88.0,0.0,-0.21,0.0,-1.0,-1.13,-3.0,0.0,-26.15,0.0,-16.92,16.35,-6.23,306.5,316,4,"3,5,4,1","299.1,292.8,309.2,283.0"
0,3,6,1.0,0.62,3.0,6.0,5.719293,74.0,0.0,-0.1,0.0,-1.0,-1.81,11.0,0.0,-0.6,0.0,-9.17,35.72,-21.35,260.6,265,4,"3,1,4,5","255.8,255.2,290.9,269.6"
0,3,7,1.0,0.7,3.0,6.0,4.3029413,72.0,0.0,-0.18,0.0,-1.0,-0.39,13.0,0.0,-13.81,0.0,-16.64,1.32,-14.2,301.8,328,4,"3,1,4,5","311.4,297.5,298.9,284.7"
0,3,8,1.0,0.71,3.0,5.0,3.685429,90.0,0.0,-0.19,0.0,0.0,0.22,-5.0,0.0,-30.42,0.0,0.0,-14.03,-41.98,328.2,375,3,"5,1,4","333.0,302.6,288.6"
0,4,3,2.25,2.42,5.0,9.0,8.252549,48.0,0.0,-0.03,0.0,0.0,-1.87,5.0,0.0,-3.41,0.0,0.0,103.19,-37.36,898.5,945,3,"1,4,5","941.6,1044.8,1007.4"
0,5,4,4.0,4.0,3.0,9.0,21.204227,8.0,0.25,-0.08,0.0,0.0,-5.56,7.0,-44.8,-30.56,0.0,0.0,296.86,-78.99,678.1,688,4,"1,0,4,5","657.4,612.6,909.5,830.5"
0,6,4,1.0,1.06,4.0,6.0,9.722609,64.0,0.0,-0.23,0.0,0.0,-0.01,-3.0,0.0,-36.74,0.0,0.0,2.03,-3.96,290.7,300,3,"5,1,4","296.0,259.3,261.3"
0,6,6,1.0,0.71,4.0,6.0,11.623068,62.0,0.0,0.12,0.0,0.0,-1.92,-1.0,0.0,0.57,0.0,0.0,47.83,-25.12,247.8,239,3,"5,1,4","213.9,214.5,262.3"
0,7,6,1.0,0.7,4.0,5.0,10.831377,62.0,0.0,0.66,0.0,0.0,0.12,0.0,0.0,45.01,0.0,0.0,-0.59,0.0,226.8,208,2,"1,4","253.0,252.4"
0,8,8,1.75,1.25,4.0,6.0,13.00311,44.0,0.25,0.4,0.0,0.0,-3.45,11.0,-22.17,56.33,0.0,0.0,44.95,-27.03,292.6,295,4,"4,0,1,5","339.9,317.8,374.1,347.1"
0,9,4,1.0,1.64,5.0,6.0,4.23297,108.0,0.0,-0.02,0.0,0.0,4.51,-14.0,0.0,-21.62,0.0,0.0,-131.46,-2.31,496.8,519,3,"1,5,4","497.4,495.1,363.6"
0,9,6,1.0,1.15,5.0,6.0,5.5973306,109.0,0.0,0.47,0.0,0.0,3.14,-15.0,0.0,41.82,0.0,0.0,-98.23,-15.43,424.8,430,3,"5,1,4","414.6,456.4,358.2"
0,9,7,1.0,1.2,5.0,6.0,13.978305,98.0,0.0,0.42,0.0,0.0,-5.24,-4.0,0.0,17.41,0.0,0.0,107.24,-13.5,264.8,255,3,"4,5,1","362.2,348.7,366.1"
