domainId,instanceId,feature0,feature1,feature2,feature3,feature4,feature5,pred,actual
0,0,2.25,2.07,4.0,8.0,14.042859,29.0,509.2,365.0
0,1,3.0,2.9,5.0,8.0,5.4705296,38.0,982.0,865.0
0,2,2.5,3.77,3.0,11.0,9.92551,18.0,1015.3,1038.0
0,3,3.5,4.56,3.0,12.0,8.092121,25.0,1712.5,1490.0
0,4,2.5,2.55,3.0,9.0,12.319261,11.0,684.4,711.0
0,5,2.0,1.71,3.0,7.0,16.381674,45.0,299.4,211.0
0,6,2.5,2.69,4.0,9.0,9.540491,28.0,768.0,790.0
0,7,2.5,1.8,5.0,7.0,4.7380724,45.0,545.1,680.0
0,8,2.5,1.6,3.0,8.0,13.305296,10.0,425.0,384.5
0,9,1.0,0.91,4.0,7.0,2.3356674,106.0,504.6,605.0
0,10,1.0,1.83,4.0,8.0,1.5338992,85.0,659.6,638.0
0,11,1.75,1.93,3.0,7.0,11.576045,52.0,377.2,385.0
0,12,1.0,1.41,3.0,7.0,9.472734,47.0,351.1,175.0
0,13,2.25,1.96,3.0,7.0,4.885039,12.0,421.5,365.0
0,14,1.0,1.14,4.0,6.0,45.651012,105.0,205.1,160.0
0,15,3.75,4.13,3.0,11.0,10.383022,14.0,1187.5,1070.0
0,16,1.0,1.43,3.0,7.0,5.924358,61.0,420.0,800.0
0,17,3.25,4.36,3.0,10.0,16.367924,22.0,994.8,795.1
0,18,1.0,1.44,3.0,7.0,9.301377,46.0,360.9,355.0
0,19,2.25,1.96,4.0,8.0,14.577075,39.0,424.5,474.0
0,20,2.0,1.91,3.0,7.0,7.0391436,47.0,445.4,485.0
0,21,4.25,5.71,3.0,11.0,22.25461,8.0,1160.6,930.0
0,22,2.75,2.59,3.0,9.0,15.470982,32.0,639.4,920.0
0,23,1.5,2.79,3.0,8.0,8.999944,60.0,569.8,560.0
0,24,3.25,1.53,3.0,8.0,1.2698125,10.0,542.9,654.0
0,25,2.25,1.92,3.0,8.0,13.101273,34.0,464.3,549.0
0,26,1.0,1.01,4.0,7.0,28.305868,43.0,274.9,290.0
0,27,1.0,0.52,3.0,5.0,3.9085732,85.0,258.5,275.0
0,28,2.75,2.42,3.0,8.0,31.300705,18.0,430.9,330.0
0,29,1.5,1.11,5.0,7.0,2.5291195,111.0,561.8,750.0
0,30,2.75,1.36,4.0,7.0,31.135435,60.0,285.2,425.0
0,31,1.5,2.2,4.0,7.0,8.422285,73.0,424.4,515.0
0,32,1.75,1.85,4.0,8.0,10.519368,42.0,504.9,605.0
0,33,2.25,1.64,4.0,7.0,21.182344,97.0,254.1,250.0
0,34,1.75,1.34,4.0,7.0,9.451314,54.0,400.9,330.0
0,35,2.25,2.39,5.0,9.0,6.3845844,53.0,1059.8,984.0
0,36,4.25,3.92,3.0,9.0,15.645469,15.0,856.0,827.5
0,37,2.5,2.54,4.0,8.0,18.859962,39.0,395.3,485.0
0,38,2.0,1.16,3.0,7.0,9.75204,46.0,358.3,306.0
0,39,4.25,4.285,3.0,10.0,6.5110693,2.0,1905.6,1890.0
0,40,2.25,2.26,3.0,7.0,14.484202,53.0,359.7,514.0
0,41,1.0,0.83,4.0,6.0,9.707744,61.0,258.1,282.6
0,42,2.75,2.481,3.0,8.0,24.008404,1.0,366.7,309.0
0,43,2.0,1.65,3.0,7.0,22.30277,6.0,304.8,400.0
0,44,1.0,1.01,4.0,6.0,27.050663,42.0,258.8,310.0
0,45,1.0,1.36,4.0,5.0,10.956049,62.0,289.2,253.2
0,46,2.0,1.65,4.0,6.0,9.55134,55.0,368.5,334.0
0,47,2.0,1.54,3.0,7.0,1.7432171,21.0,402.2,500.0
0,48,1.75,1.51,3.0,7.0,10.632873,47.0,384.3,441.5
0,49,2.0,2.29,5.0,7.0,5.20082,115.0,683.2,685.0
0,50,2.5,1.63,3.0,7.0,3.061099,16.0,493.4,327.0
0,51,1.75,1.52,3.0,6.0,4.46956,66.0,424.5,450.0
0,52,3.5,2.1,3.0,9.0,10.037728,35.0,622.7,356.0
0,53,1.75,1.56,3.0,6.0,3.860578,71.0,422.4,525.0
0,54,2.5,1.3,3.0,8.0,2.2807415,1.0,579.0,675.0
0,55,4.25,4.72,3.0,11.0,15.028726,10.0,1309.1,875.0
0,56,2.5,1.99,4.0,8.0,28.129246,28.0,411.0,345.0
0,57,3.0,3.15,3.0,9.0,14.72948,14.0,737.4,695.0
0,58,1.0,1.62,5.0,6.0,8.738911,94.0,376.8,350.0
0,59,2.5,2.79,3.0,9.0,14.763295,16.0,676.2,695.0
0,60,3.0,2.32,3.0,8.0,17.731075,17.0,387.7,400.0
0,61,1.0,1.129,3.0,7.0,5.2366056,62.0,425.9,330.0
0,62,1.5,1.29,3.0,6.0,12.671782,61.0,222.1,265.0
0,63,2.5,2.29,3.0,8.0,10.138267,38.0,549.9,630.0
0,64,1.0,1.46,2.0,7.0,6.591716,90.0,402.1,312.0
0,65,1.0,0.92,4.0,6.0,21.73973,65.0,224.7,156.0
0,66,2.5,3.08,3.0,7.0,16.086134,30.0,461.3,300.0
0,67,2.5,3.12,4.0,9.0,17.45909,41.0,629.6,1225.0
0,68,1.0,1.12,3.0,7.0,3.5068977,89.0,499.4,465.0
0,69,2.5,3.6,3.0,9.0,11.819416,1.0,878.3,924.0
0,70,2.25,2.0,4.0,7.0,18.789396,48.0,282.4,320.0
0,71,1.0,1.61,3.0,7.0,9.861324,40.0,388.7,375.0
0,72,1.75,1.67,5.0,8.0,3.028778,103.0,786.0,985.0
0,73,2.0,2.31,4.0,8.0,6.474602,49.0,757.0,850.0
0,74,2.25,1.8,4.0,8.0,14.987312,39.0,434.9,474.9
0,75,3.5,3.43,3.0,11.0,10.375043,14.0,864.4,997.0
0,76,3.5,3.59,3.0,9.0,5.739127,9.0,1173.2,1302.0
0,77,2.0,1.18,3.0,6.0,22.996073,10.0,245.5,209.9
0,78,2.5,1.64,3.0,8.0,1.5597955,17.0,515.1,602.0
0,79,2.5,5.73,3.0,11.0,12.526787,24.0,1379.5,1228.0
0,80,2.5,2.16,3.0,9.0,4.347831,1.0,719.5,856.0
0,81,2.25,1.79,3.0,7.0,9.2168665,41.0,426.6,392.0
0,82,2.5,2.9,4.0,8.0,4.804325,56.0,1075.4,500.0
0,83,2.25,1.5,3.0,7.0,20.31231,31.0,267.6,230.0
0,84,2.5,2.49,5.0,8.0,2.4935658,97.0,953.7,1145.0
0,85,2.5,3.27,4.0,8.0,9.264854,36.0,686.3,560.0
0,86,2.25,1.98,3.0,8.0,10.879466,51.0,456.2,355.0
0,87,2.0,2.09,5.0,7.0,2.6465464,95.0,632.5,785.0
0,88,2.25,1.18,3.0,7.0,1.0854651,11.0,390.6,447.5
0,89,1.0,1.14,3.0,7.0,6.298362,95.0,478.0,540.0
0,90,2.0,1.54,4.0,7.0,20.282698,31.0,271.6,252.0
0,91,1.75,2.05,4.0,7.0,15.885995,56.0,339.4,455.0
0,92,2.5,2.27,5.0,8.0,7.970397,43.0,625.9,619.8
0,93,2.5,2.07,3.0,9.0,2.6462243,85.0,896.9,1250.0
0,94,1.5,1.58,3.0,8.0,4.901099,1.0,467.5,495.0
0,95,1.0,1.27,3.0,7.0,5.8773394,89.0,464.6,540.0
0,96,2.5,1.83,3.0,7.0,21.037203,11.0,298.4,286.7
0,97,1.0,1.78,3.0,7.0,8.454342,58.0,333.1,261.0
0,98,3.25,3.33,3.0,9.0,16.6374,11.0,782.9,830.0
0,99,2.25,2.53,3.0,8.0,8.509214,28.0,632.9,450.0
0,100,1.0,1.27,3.0,6.0,22.835548,38.0,238.3,260.0
0,101,3.5,2.82,3.0,10.0,6.516277,20.0,1126.2,1450.0
0,102,3.5,3.48,3.0,10.0,24.263857,11.0,685.2,480.0
0,103,2.0,1.83,3.0,7.0,5.655958,64.0,539.5,270.0
0,104,3.5,4.68,3.0,10.0,8.205869,10.0,1263.5,1160.0
0,105,1.0,1.7,3.0,7.0,6.579915,55.0,397.0,250.0
0,106,1.0,1.05,3.0,7.0,1.7974522,111.0,494.6,650.0
0,107,2.0,2.08,4.0,8.0,10.3479595,33.0,574.3,590.0
0,108,2.5,2.61,3.0,10.0,13.499746,27.0,715.4,743.7
0,109,4.25,4.83,4.0,11.0,2.8823202,101.0,2074.9,1925.0
0,110,1.75,1.12,4.0,7.0,32.61323,98.0,217.0,316.0
0,111,2.0,1.33,4.0,5.0,10.113192,73.0,269.8,235.9
0,112,2.0,1.42,4.0,7.0,2.56277,111.0,577.4,716.0
0,113,2.5,2.62,3.0,9.0,9.982572,25.0,663.9,683.0
0,114,2.0,1.43,4.0,7.0,3.6522183,107.0,530.6,345.0
0,115,1.75,1.26,3.0,6.0,11.471824,68.0,285.1,270.0
0,116,1.5,1.33,3.0,7.0,12.732662,44.0,309.1,239.0
0,117,1.0,0.71,3.0,6.0,2.2496822,0.0,276.5,385.2
0,118,1.75,2.05,4.0,6.0,12.51881,56.0,354.9,273.0
0,119,1.0,1.24,4.0,6.0,3.9698575,105.0,433.9,476.9
0,120,1.75,2.04,3.0,7.0,6.240793,53.0,500.1,551.0
0,121,1.0,1.11,3.0,6.0,5.999782,78.0,337.2,448.0
0,122,1.5,1.04,4.0,7.0,8.380532,57.0,374.0,411.1
0,123,1.0,0.91,3.0,6.0,12.413437,58.0,205.1,223.0
0,124,3.0,2.24,4.0,8.0,14.240933,47.0,477.8,335.5
0,125,3.0,3.46,3.0,9.0,15.448983,27.0,756.7,730.0
0,126,1.0,1.14,3.0,6.0,8.548064,73.0,254.0,197.2
0,127,1.75,2.38,3.0,8.0,3.9416983,98.0,740.3,725.0
0,128,2.0,2.08,3.0,8.0,31.409231,13.0,449.4,342.5
0,129,2.0,1.75,3.0,7.0,11.296504,59.0,361.4,340.0
0,130,2.0,1.41,4.0,7.0,6.479723,85.0,493.6,418.0
0,131,1.75,2.16,3.0,7.0,2.5998075,62.0,577.9,410.0
0,132,1.75,2.46,3.0,7.0,19.060871,58.0,346.4,240.0
0,133,3.25,3.54,3.0,9.0,20.26777,8.0,610.7,800.0
0,134,3.0,1.39,3.0,7.0,5.643964,9.0,303.1,275.0
0,135,2.5,2.41,3.0,8.0,9.222682,18.0,532.9,618.0
0,136,1.5,1.3,5.0,7.0,9.938618,59.0,388.3,396.0
0,137,2.5,1.95,3.0,7.0,20.717442,2.0,309.6,309.0
0,138,1.75,3.72,4.0,9.0,4.232412,68.0,1128.2,1275.0
0,139,2.5,2.49,3.0,9.0,8.675448,24.0,669.1,572.5
0,140,3.0,2.12,3.0,8.0,7.4041767,30.0,578.5,518.5
0,141,2.5,2.83,3.0,10.0,14.4458275,24.0,782.4,710.0
0,142,3.25,4.41,4.0,9.0,15.482142,14.0,965.8,600.0
0,143,2.5,2.22,3.0,7.0,11.740686,42.0,436.3,467.0
0,144,1.0,1.28,4.0,6.0,13.146913,56.0,260.7,309.0
0,145,3.5,1.71,3.0,7.0,4.4696097,2.0,369.3,362.5
0,146,1.75,2.33,4.0,8.0,13.506795,47.0,476.1,390.0
0,147,1.0,0.84,3.0,5.0,5.371369,77.0,260.0,208.4
0,148,1.0,3.18,3.0,8.0,32.94739,46.0,403.6,340.0
0,149,1.75,2.26,3.0,7.0,7.500724,67.0,490.7,467.5
0,150,2.75,2.97,4.0,8.0,11.805998,42.0,654.2,829.0
0,151,3.0,3.06,4.0,8.0,11.079074,58.0,643.8,959.8
0,152,2.5,1.99,3.0,8.0,8.993507,51.0,493.5,542.0
0,153,2.5,3.42,3.0,9.0,2.8344712,64.0,1441.5,2250.0
0,154,2.5,2.99,3.0,9.0,11.496035,43.0,780.6,575.0
0,155,1.75,2.33,3.0,9.0,8.010542,51.0,777.8,690.0
0,156,3.25,2.23,4.0,8.0,5.8518887,38.0,840.2,700.0
0,157,2.5,2.72,3.0,9.0,20.459154,12.0,451.5,408.5
0,158,3.0,3.68,4.0,8.0,17.5476,45.0,539.4,595.0
0,159,1.75,1.32,5.0,7.0,9.346325,67.0,366.8,313.0
0,160,2.5,2.59,3.0,9.0,12.121828,27.0,669.5,781.0
0,161,1.75,1.61,3.0,7.0,11.094057,47.0,397.4,371.0
0,162,2.0,1.61,3.0,7.0,15.972057,21.0,326.8,268.0
0,163,2.25,1.24,3.0,7.0,13.19075,7.0,331.2,331.0
0,164,2.25,1.347,3.0,7.0,8.820271,5.0,329.3,321.0
0,165,1.75,1.33,5.0,6.0,8.219068,79.0,315.0,375.0
0,166,1.0,0.85,3.0,5.0,10.086547,108.0,185.9,298.0
0,167,1.5,0.97,3.0,7.0,4.953717,39.0,372.3,209.5
0,168,2.5,2.16,3.0,8.0,3.3893163,21.0,618.8,440.0
0,169,2.5,2.56,3.0,8.0,18.970806,3.0,398.8,350.0
0,170,2.5,2.34,3.0,9.0,1.206616,17.0,819.1,618.0
0,171,1.0,1.52,4.0,7.0,10.921084,64.0,380.3,320.0
0,172,2.5,1.72,3.0,8.0,18.09091,16.0,338.1,235.0
0,173,2.0,2.8,4.0,8.0,9.123185,52.0,648.8,665.0
0,174,2.0,1.53,3.0,7.0,8.622946,60.0,375.4,500.0
0,175,1.5,1.75,4.0,8.0,23.079412,37.0,295.2,575.0
0,176,2.0,1.11,5.0,7.0,28.378864,37.0,275.1,320.0
0,177,2.5,3.4,4.0,8.0,8.961934,56.0,686.5,464.0
0,178,2.0,1.6,3.0,7.0,23.23397,21.0,271.0,280.0
0,179,1.0,0.94,3.0,6.0,10.052418,56.0,247.5,350.0
0,180,1.5,1.09,3.0,7.0,10.145612,33.0,331.6,249.0
0,181,3.0,1.27,3.0,8.0,3.972823,15.0,460.4,531.0
0,182,2.25,1.84,3.0,8.0,8.451474,54.0,491.7,472.8
0,183,1.75,2.12,4.0,8.0,4.195712,74.0,763.9,710.0
0,184,2.75,3.55,3.0,7.0,8.396082,55.0,642.5,580.0
0,185,2.5,2.98,3.0,8.0,22.74815,12.0,475.0,330.0
0,186,1.0,0.73,3.0,6.0,15.477292,65.0,199.5,175.0
0,187,3.0,2.11,4.0,7.0,3.1951525,50.0,506.9,565.0
0,188,2.0,2.28,3.0,7.0,1.3001685,23.0,514.4,534.0
0,189,2.5,1.81,3.0,7.0,3.9833136,18.0,410.1,503.5
0,190,1.75,1.42,4.0,7.0,22.661163,53.0,243.0,235.0
0,191,2.5,3.22,3.0,9.0,5.231025,15.0,1066.5,558.0
0,192,4.5,3.81,3.0,10.0,12.847482,7.0,834.3,966.0
0,193,2.75,2.63,5.0,9.0,4.384672,115.0,1017.3,1297.0
0,194,1.5,1.06,4.0,6.0,4.0307045,32.0,344.1,310.0
0,195,1.0,1.52,4.0,7.0,5.688977,88.0,556.6,535.0
0,196,1.75,1.97,3.0,7.0,5.3208046,73.0,549.7,432.0
0,197,4.25,5.86,3.0,10.0,11.230745,2.0,1371.5,1750.0
0,198,3.0,2.4,4.0,7.0,4.3094106,51.0,620.0,675.0
0,199,2.0,1.59,3.0,8.0,19.116117,14.0,333.9,337.0
1,0,420.885,0.0,18.3,4.0,0.0,,6.3,6.9
1,1,56.343,0.0,23.9,22.0,0.0,,3.7,3.0
1,2,148.032,0.0,17.8,4.0,0.0,,4.4,4.4
1,3,166.514,9.0,15.6,0.0,0.0,,4.3,4.2
1,4,189.425,9.0,15.6,10.0,1.0,,5.1,5.0
1,5,270.413,0.0,17.8,3.0,1.0,,5.2,4.9
1,6,137.806,0.0,21.7,21.0,0.0,,5.5,5.0
1,7,116.121,0.0,18.3,5.0,0.0,,6.1,6.0
